N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
23.0,삼성생명,62800.0,200.0,+0.32%,500.0,403310.0,3161659.0,13866.0
24.0,하나금융지주,40700.0,400.0,+0.99%,5000.0,708438.0,5688732.0,46903.0
25.0,한국전력,18010.0,880.0,-4.66%,5000.0,712579.0,2348050.0,-326552.0
26.0,KT&G,83900.0,300.0,-0.36%,5000.0,58514.0,123017.0,12676.0
27.0,카카오뱅크,24150.0,200.0,+0.84%,5000.0,16058.0,395161.0,3532.0
28.0,삼성전기,152700.0,300.0,-0.20%,5000.0,94246.0,109972.0,11828.0
29.0,고려아연,553000.0,20000.0,+3.75%,5000.0,112194.0,120979.0,9192.0
30.0,두산에너빌리티,17000.0,650.0,+3.98%,5000.0,154211.0,230498.0,11061.0
31.0,SK텔레콤,48300.0,500.0,+1.05%,100.0,173050.0,313083.0,16121.0
32.0,HMM,20350.0,350.0,+1.75%,5000.0,185828.0,259735.0,99516.0
33.0,삼성화재,206000.0,1000.0,-0.48%,500.0,257844.0,882243.0,16061.0
34.0,LG생활건강,600000.0,9000.0,+1.52%,5000.0,71858.0,73029.0,7111.0
35.0,한화솔루션,53700.0,1800.0,+3.47%,5000.0,136539.0,238317.0,9662.0
36.0,크래프톤,183500.0,4400.0,+2.46%,100.0,18540.0,60303.0,7516.0
37.0,S-Oil,80100.0,400.0,+0.50%,2500.0,424460.0,196131.0,34052.0
38.0,삼성에스디에스,116000.0,1900.0,-1.61%,500.0,172347.0,119524.0,9161.0
39.0,현대중공업,100000.0,800.0,+0.81%,5000.0,90455.0,162894.0,-2892.0
40.0,대한항공,23200.0,200.0,-0.85%,5000.0,140961.0,289977.0,28306.0
41.0,우리금융지주,11410.0,230.0,+2.06%,5000.0,423727.0,4804744.0,44305.0
42.0,롯데케미칼,190800.0,2200.0,+1.17%,5000.0,222761.0,267846.0,-7626.0
43.0,엔씨소프트,371500.0,0.0,0.00%,500.0,25718.0,44376.0,5590.0
44.0,기업은행,10100.0,210.0,+2.12%,5000.0,275361.0,4319797.0,37748.0
45.0,아모레퍼시픽,136800.0,1100.0,+0.81%,500.0,41349.0,58018.0,2142.0
46.0,하이브,188900.0,900.0,+0.48%,500.0,17762.0,48704.0,2369.0
47.0,KT,29450.0,450.0,+1.55%,5000.0,256500.0,409807.0,16901.0
48.0,카카오페이,55600.0,1500.0,+2.77%,500.0,5217.0,33315.0,-455.0
49.0,메리츠금융지주,38600.0,1250.0,-3.14%,500.0,703656.0,927572.0,22009.0
50.0,LG이노텍,270500.0,500.0,-0.18%,5000.0,195894.0,97936.0,12718.0
51.0,삼성엔지니어링,31700.0,1350.0,+4.45%,5000.0,100543.0,78487.0,7029.0
52.0,현대글로비스,158500.0,200.0,-0.13%,500.0,269819.0,138778.0,17985.0
53.0,LG디스플레이,16430.0,230.0,+1.42%,5000.0,261518.0,356860.0,-20850.0
54.0,KODEX 200,32690.0,380.0,+1.18%,0.0,,,
55.0,넷마블,66300.0,2000.0,+3.11%,100.0,26734.0,89356.0,-1087.0
56.0,SK스퀘어,39750.0,450.0,+1.15%,100.0,45107.0,221606.0,1628.0
57.0,SK바이오사이언스,72100.0,500.0,+0.70%,500.0,4567.0,21419.0,1150.0
58.0,한국조선해양,77500.0,700.0,+0.91%,5000.0,173020.0,298835.0,-3556.0
59.0,오리온,136600.0,2000.0,+1.49%,500.0,28732.0,33717.0,4667.0
60.0,F&F,139500.0,1500.0,+1.09%,100.0,18089.0,15702.0,5249.0
61.0,DB손해보험,74900.0,400.0,+0.54%,500.0,208806.0,647516.0,11084.0
62.0,SK아이이테크놀로지,71200.0,300.0,-0.42%,1000.0,5858.0,34973.0,-523.0
63.0,맥쿼리인프라,12500.0,70.0,-0.56%,0.0,,,
64.0,한화에어로스페이스,99200.0,2600.0,+2.69%,5000.0,65396.0,151573.0,3772.0
65.0,SK바이오팜,63300.0,1200.0,+1.93%,500.0,2462.0,6642.0,-1311.0
66.0,CJ제일제당,326000.0,7000.0,+2.19%,5000.0,300795.0,300132.0,16647.0
67.0,TIGER CD금리투자KIS(합성),52145.0,10.0,+0.02%,0.0,,,
68.0,LG유플러스,10830.0,30.0,+0.28%,5000.0,139060.0,197748.0,10813.0
69.0,코스모신소재,153900.0,7000.0,+4.77%,1000.0,4856.0,4513.0,325.0
70.0,한온시스템,8780.0,130.0,+1.50%,100.0,86277.0,90988.0,2566.0
71.0,현대제철,34700.0,600.0,+1.76%,5000.0,273406.0,368010.0,16165.0
72.0,한국항공우주,47400.0,550.0,+1.17%,5000.0,27869.0,77724.0,1416.0
73.0,HD현대,58100.0,300.0,+0.52%,1000.0,608497.0,655709.0,33870.0
74.0,금양,78500.0,500.0,-0.63%,500.0,2131.0,2828.0,132.0
75.0,삼성중공업,5170.0,80.0,+1.57%,1000.0,59447.0,144917.0,-8544.0
76.0,두산밥캣,43700.0,1200.0,+2.82%,500.0,86219.0,92484.0,10716.0
77.0,SKC,114300.0,5200.0,+4.77%,5000.0,31389.0,63931.0,2203.0
78.0,한국타이어앤테크놀로지,34800.0,850.0,+2.50%,500.0,83942.0,125814.0,7058.0
79.0,강원랜드,19900.0,230.0,+1.17%,500.0,12707.0,41678.0,2176.0
80.0,금호석유,143700.0,2000.0,+1.41%,5000.0,79756.0,77193.0,11477.0
81.0,현대건설,36450.0,100.0,-0.27%,5000.0,212391.0,209117.0,5749.0
82.0,포스코인터내셔널,22300.0,800.0,+3.72%,5000.0,379896.0,125163.0,9025.0
83.0,미래에셋증권,6460.0,80.0,+1.25%,5000.0,191608.0,1062133.0,8356.0
84.0,유한양행,50600.0,500.0,+1.00%,1000.0,17758.0,24727.0,360.0
85.0,코웨이,52500.0,1000.0,+1.94%,500.0,38561.0,43651.0,6774.0
86.0,GS,40400.0,350.0,+0.87%,5000.0,287770.0,339222.0,50051.0
87.0,메리츠증권,6100.0,200.0,-3.17%,1000.0,570376.0,564527.0,10925.0
88.0,삼성카드,30400.0,100.0,+0.33%,5000.0,37946.0,296232.0,8489.0
89.0,현대차2우B,95800.0,300.0,+0.31%,5000.0,,,
90.0,KODEX KOFR금리액티브(합성),102550.0,20.0,+0.02%,0.0,,,
91.0,한미약품,256000.0,2000.0,+0.79%,2500.0,13315.0,19246.0,1581.0
92.0,DB하이텍,72300.0,11200.0,+18.33%,5000.0,16753.0,21227.0,7687.0
93.0,호텔신라,81500.0,800.0,+0.99%,5000.0,49220.0,29385.0,783.0
94.0,아모레G,38500.0,200.0,+0.52%,500.0,44950.0,76510.0,2719.0
95.0,롯데에너지머티리얼즈,68800.0,2300.0,+3.46%,500.0,7294.0,24303.0,848.0
96.0,BGF리테일,181700.0,1300.0,+0.72%,1000.0,76158.0,29462.0,2524.0
97.0,쌍용C&E,6170.0,180.0,+3.01%,100.0,19650.0,38743.0,2209.0
98.0,팬오션,5810.0,20.0,-0.34%,1000.0,64203.0,75489.0,7896.0
99.0,현대오토에버,112600.0,1100.0,+0.99%,500.0,27545.0,26194.0,1424.0
100.0,씨에스윈드,72900.0,500.0,-0.68%,500.0,13749.0,17795.0,421.0
101.0,한진칼,45950.0,100.0,+0.22%,2500.0,2003.0,39151.0,145.0
102.0,한국금융지주,55000.0,300.0,+0.55%,5000.0,250281.0,863086.0,5458.0
103.0,CJ,104300.0,3100.0,+3.06%,5000.0,409249.0,482404.0,21542.0
104.0,현대해상,33800.0,200.0,+0.60%,500.0,203844.0,522276.0,8080.0
105.0,롯데지주,28750.0,350.0,+1.23%,200.0,141119.0,221754.0,4898.0
106.0,GS리테일,28350.0,150.0,+0.53%,1000.0,112264.0,98324.0,2451.0
107.0,이마트,105600.0,900.0,+0.86%,5000.0,293324.0,332017.0,1357.0
108.0,TIGER 차이나전기차SOLACTIVE,11455.0,80.0,+0.70%,0.0,,,
109.0,NH투자증권,8800.0,50.0,+0.57%,5000.0,115357.0,534283.0,5214.0
110.0,한전기술,75000.0,2200.0,+3.02%,200.0,5053.0,8165.0,139.0
111.0,삼성증권,31700.0,500.0,+1.60%,5000.0,134869.0,538483.0,5781.0
112.0,현대로템,25800.0,50.0,+0.19%,5000.0,31633.0,48239.0,1475.0
113.0,현대미포조선,70200.0,600.0,+0.86%,5000.0,37169.0,47482.0,-1091.0
114.0,한미사이언스,38950.0,500.0,-1.27%,500.0,10461.0,11097.0,676.0
115.0,한솔케미칼,239500.0,4500.0,+1.91%,5000.0,8855.0,12533.0,1860.0
116.0,KODEX 종합채권(AA-이상)액티브,105415.0,180.0,-0.17%,0.0,,,
117.0,키움증권,101000.0,3000.0,+3.06%,5000.0,58662.0,453011.0,12089.0
118.0,대우조선해양,24500.0,700.0,+2.94%,5000.0,48602.0,122357.0,-16136.0
119.0,한화시스템,13860.0,630.0,+4.76%,5000.0,21880.0,39456.0,240.0
120.0,LS,79600.0,1100.0,+1.40%,5000.0,174913.0,168140.0,6709.0
121.0,동원산업,51200.0,1200.0,+2.40%,1000.0,90263.0,70612.0,4944.0
122.0,한국가스공사,27100.0,450.0,-1.63%,5000.0,517243.0,624250.0,24634.0
123.0,서울가스,496500.0,3000.0,+0.61%,5000.0,17245.0,18713.0,33.0
124.0,OCI,102300.0,1000.0,+0.99%,5000.0,46713.0,67455.0,9767.0
125.0,LG화학우,310500.0,5000.0,+1.64%,5000.0,,,
126.0,롯데쇼핑,81900.0,200.0,+0.24%,5000.0,154760.0,317036.0,3862.0
127.0,농심,379000.0,11500.0,+3.13%,5000.0,31291.0,30347.0,1122.0
128.0,현대차우,94400.0,1400.0,+1.51%,5000.0,,,
129.0,TIGER 미국나스닥100,75475.0,690.0,+0.92%,0.0,,,
130.0,휠라홀딩스,36500.0,900.0,+2.53%,1000.0,42218.0,48218.0,4351.0
131.0,대성홀딩스,137200.0,200.0,+0.15%,1000.0,12532.0,13913.0,70.0
132.0,에스디바이오센서,21100.0,200.0,+0.96%,500.0,29320.0,32619.0,11466.0
133.0,두산퓨얼셀,33550.0,200.0,-0.59%,100.0,3121.0,10269.0,72.0
134.0,KODEX 레버리지,15410.0,360.0,+2.39%,0.0,,,
135.0,HL만도,45850.0,150.0,-0.33%,1000.0,75162.0,58458.0,2481.0
136.0,제일기획,18620.0,110.0,-0.59%,200.0,42534.0,27514.0,3114.0
137.0,BNK금융지주,6510.0,110.0,+1.72%,5000.0,75756.0,1369664.0,11589.0
138.0,신세계,215500.0,500.0,+0.23%,5000.0,78128.0,143484.0,6454.0
139.0,에스원,55300.0,100.0,+0.18%,500.0,24680.0,20757.0,2041.0
140.0,삼천리,515000.0,8000.0,+1.58%,5000.0,57891.0,50220.0,912.0
141.0,KODEX 200선물인버스2X,2805.0,65.0,-2.26%,0.0,,,
142.0,한화생명,2400.0,10.0,-0.41%,5000.0,337014.0,1612355.0,7147.0
143.0,영원무역,45650.0,0.0,0.00%,500.0,39110.0,45136.0,8230.0
144.0,TIGER 200,32710.0,380.0,+1.18%,0.0,,,
145.0,KODEX 200TR,10985.0,125.0,+1.15%,0.0,,,
146.0,한미반도체,20700.0,600.0,-2.82%,100.0,3276.0,4554.0,1119.0
147.0,KCC,222000.0,1500.0,-0.67%,5000.0,67748.0,131185.0,4677.0
148.0,한화,26250.0,300.0,+1.16%,5000.0,622784.0,2111753.0,25161.0
149.0,동서,19630.0,380.0,+1.97%,500.0,5565.0,16279.0,392.0
150.0,효성첨단소재,432000.0,4000.0,+0.93%,5000.0,38414.0,29347.0,3151.0
151.0,효성티앤씨,443000.0,7000.0,-1.56%,5000.0,88827.0,43199.0,1236.0
152.0,대한전선,1510.0,15.0,+1.00%,100.0,24505.0,16203.0,482.0
153.0,CJ대한통운,79900.0,800.0,+1.01%,5000.0,121307.0,96933.0,4118.0
154.0,LX세미콘,112000.0,1300.0,+1.17%,500.0,21193.0,12896.0,3106.0
155.0,TIGER 미국S&P500,13235.0,80.0,+0.61%,0.0,,,
156.0,오뚜기,448000.0,7000.0,+1.59%,5000.0,31833.0,35698.0,1857.0
157.0,GS건설,20650.0,150.0,-0.72%,5000.0,122992.0,169466.0,5548.0
158.0,TIGER MSCI Korea TR,13760.0,245.0,+1.81%,0.0,,,
159.0,코스모화학,49850.0,250.0,-0.50%,1000.0,7182.0,8079.0,414.0
160.0,JB금융지주,8740.0,20.0,+0.23%,5000.0,31171.0,598282.0,8258.0
161.0,한전KPS,37800.0,1000.0,+2.72%,200.0,14291.0,15620.0,1306.0
162.0,LS ELECTRIC,56500.0,200.0,+0.36%,5000.0,33771.0,33228.0,1875.0
163.0,대우건설,4030.0,70.0,-1.71%,5000.0,104192.0,111404.0,7600.0
164.0,솔루스첨단소재,47000.0,300.0,+0.64%,100.0,4612.0,14610.0,-452.0
165.0,쌍용차,8760.0,0.0,0.00%,5000.0,34233.0,20019.0,-1120.0
166.0,두산,97900.0,100.0,+0.10%,5000.0,169958.0,263154.0,11260.0
167.0,TIGER 미국필라델피아반도체나스닥,11140.0,165.0,+1.50%,0.0,,,
168.0,LIG넥스원,72400.0,1400.0,+1.97%,5000.0,22208.0,30127.0,1791.0
169.0,TIGER 미국테크TOP10 INDXX,10720.0,100.0,+0.94%,0.0,,,
170.0,하이트진로,22400.0,400.0,+1.82%,5000.0,24976.0,33334.0,1906.0
171.0,덴티움,139700.0,9100.0,+6.97%,500.0,3559.0,6746.0,1257.0
172.0,롯데칠성,164900.0,1200.0,+0.73%,500.0,28417.0,36959.0,2229.0
173.0,현대위아,56000.0,100.0,+0.18%,5000.0,82076.0,75465.0,2121.0
174.0,KODEX 23-12 은행채(AA+이상)액티브,10255.0,5.0,+0.05%,0.0,,,
175.0,롯데정밀화학,58400.0,400.0,+0.69%,5000.0,24638.0,27098.0,4043.0
176.0,현대두산인프라코어,7530.0,120.0,+1.62%,1000.0,47561.0,47367.0,3325.0
177.0,후성,15690.0,760.0,-4.62%,500.0,6106.0,9338.0,1054.0
178.0,녹십자,122100.0,0.0,0.00%,5000.0,17113.0,25255.0,813.0
179.0,효성,67600.0,1300.0,+1.96%,5000.0,37193.0,52673.0,649.0
180.0,KBSTAR 200,33025.0,525.0,+1.62%,0.0,,,
181.0,현대일렉트릭,37900.0,250.0,+0.66%,5000.0,21045.0,24350.0,1330.0
182.0,이수화학,47750.0,300.0,-0.62%,5000.0,22076.0,11881.0,360.0
183.0,에스엘,27900.0,550.0,-1.93%,500.0,41745.0,29316.0,1979.0
184.0,현대엘리베이,31700.0,2000.0,+6.73%,5000.0,21293.0,30145.0,430.0
185.0,SK케미칼,74500.0,200.0,+0.27%,5000.0,18292.0,39457.0,2305.0
186.0,현대백화점,54700.0,800.0,+1.48%,5000.0,50141.0,120692.0,3209.0
187.0,KODEX 삼성그룹,9255.0,80.0,+0.87%,0.0,,,
188.0,아이에스동서,40750.0,200.0,+0.49%,500.0,22784.0,37378.0,3451.0
189.0,DL이앤씨,32350.0,0.0,0.00%,5000.0,74968.0,89747.0,4970.0
190.0,GKL,20050.0,140.0,+0.70%,500.0,2621.0,6095.0,-139.0
191.0,동원시스템즈,42750.0,600.0,-1.38%,5000.0,14370.0,14517.0,918.0
192.0,코오롱인더,44500.0,1200.0,+2.77%,5000.0,53675.0,60035.0,2425.0
193.0,대웅제약,105200.0,500.0,+0.48%,2500.0,12801.0,15633.0,958.0
194.0,제주항공,15800.0,350.0,-2.17%,1000.0,7025.0,16636.0,-1775.0
195.0,KODEX 단기채권PLUS,106190.0,20.0,+0.02%,0.0,,,
196.0,한샘,50900.0,1300.0,+2.62%,1000.0,20009.0,10997.0,-217.0
197.0,대한유화,183200.0,5600.0,+3.15%,5000.0,22221.0,21958.0,-2146.0
198.0,KBSTAR 종합채권(A-이상)액티브,97745.0,255.0,-0.26%,0.0,,,
199.0,대덕전자,23700.0,900.0,-3.66%,500.0,13162.0,11918.0,2325.0
200.0,DGB금융지주,6900.0,130.0,-1.85%,5000.0,72746.0,910107.0,6072.0
201.0,동국제강,12200.0,170.0,-1.37%,5000.0,85111.0,64512.0,7435.0
202.0,TIGER 2차전지테마,28540.0,250.0,+0.88%,0.0,,,
203.0,한국앤컴퍼니,11950.0,70.0,+0.59%,500.0,10959.0,43018.0,2452.0
204.0,일진하이솔루스,31050.0,400.0,+1.31%,500.0,1091.0,3425.0,28.0
205.0,LX인터내셔널,28950.0,200.0,-0.69%,5000.0,187595.0,77190.0,9655.0
206.0,SK네트웍스,4505.0,155.0,+3.56%,2500.0,96664.0,94993.0,1542.0
207.0,솔루엠,22350.0,50.0,+0.22%,500.0,16945.0,10343.0,756.0
208.0,DL,53300.0,400.0,+0.76%,5000.0,51708.0,121510.0,2807.0
209.0,명신산업,21200.0,50.0,+0.24%,500.0,15152.0,9293.0,1269.0
210.0,PI첨단소재,37600.0,750.0,-1.96%,500.0,2764.0,4990.0,521.0
211.0,SK가스,118700.0,1000.0,-0.84%,5000.0,80662.0,58318.0,3905.0
212.0,금호타이어,3740.0,205.0,+5.80%,5000.0,35592.0,46950.0,231.0
213.0,영풍,581000.0,5000.0,+0.87%,5000.0,44295.0,58719.0,689.0
214.0,KODEX 2차전지산업,27645.0,195.0,+0.71%,0.0,,,
215.0,오리온홀딩스,17020.0,360.0,+2.16%,500.0,29346.0,51022.0,3998.0
216.0,더존비즈온,35050.0,1100.0,+3.24%,500.0,3043.0,8329.0,455.0
217.0,삼아알미늄,72100.0,1800.0,-2.44%,500.0,3121.0,2882.0,226.0
218.0,풍산,37800.0,700.0,+1.89%,5000.0,43730.0,33953.0,2316.0
219.0,TIGER TOP10,10845.0,160.0,+1.50%,0.0,,,
220.0,롯데제과,109400.0,300.0,+0.27%,500.0,32033.0,41053.0,1124.0
221.0,아시아나항공,13810.0,190.0,-1.36%,5000.0,62067.0,134553.0,5988.0
222.0,현대건설기계,52100.0,500.0,+0.97%,5000.0,35156.0,34486.0,1706.0
223.0,코리안리,7270.0,80.0,-1.09%,500.0,109155.0,131157.0,2035.0
224.0,TIGER 단기통안채,102995.0,10.0,+0.01%,0.0,,,
225.0,롯데관광개발,13750.0,120.0,+0.88%,500.0,1837.0,18028.0,-1187.0
226.0,KG스틸,10090.0,470.0,+4.89%,5000.0,38197.0,30515.0,3404.0
227.0,율촌화학,40600.0,450.0,-1.10%,500.0,5089.0,6531.0,-46.0
228.0,F&F홀딩스,25100.0,1300.0,+5.46%,500.0,18168.0,35951.0,4862.0
229.0,SK리츠,4990.0,20.0,-0.40%,500.0,290.0,31274.0,213.0
230.0,하나투어,61000.0,200.0,-0.33%,500.0,1150.0,4554.0,-1012.0
231.0,종근당,77600.0,100.0,+0.13%,2500.0,14883.0,11249.0,1099.0
232.0,한국콜마,41900.0,300.0,+0.72%,500.0,18657.0,29333.0,733.0
233.0,한올바이오파마,18350.0,120.0,-0.65%,500.0,1100.0,2135.0,15.0
234.0,신풍제약,18010.0,440.0,-2.38%,500.0,2093.0,3615.0,-340.0
235.0,KODEX 코스닥150레버리지,10110.0,130.0,+1.30%,0.0,,,
236.0,롯데렌탈,25900.0,50.0,-0.19%,5000.0,27389.0,69272.0,3084.0
237.0,NHN,26300.0,350.0,+1.35%,500.0,21149.0,30252.0,391.0
238.0,다우기술,20900.0,100.0,+0.48%,500.0,92106.0,492600.0,7187.0
239.0,코스맥스,81000.0,200.0,-0.25%,500.0,16001.0,13965.0,531.0
240.0,진에어,17240.0,240.0,-1.37%,1000.0,5934.0,7719.0,-673.0
241.0,삼양식품,119200.0,2800.0,+2.41%,5000.0,9090.0,9249.0,904.0
242.0,해성디에스,52800.0,100.0,+0.19%,5000.0,8394.0,6596.0,2044.0
243.0,한일시멘트,12950.0,740.0,+6.06%,500.0,14876.0,24608.0,1180.0
244.0,롯데리츠,3690.0,15.0,+0.41%,500.0,579.0,23639.0,341.0
245.0,TKG휴켐스,21800.0,2650.0,+13.84%,1000.0,12358.0,9414.0,1171.0
246.0,세방,46000.0,650.0,+1.43%,500.0,12904.0,12810.0,451.0
247.0,대웅,15190.0,110.0,+0.73%,500.0,16973.0,21589.0,2073.0
248.0,영원무역홀딩스,64100.0,1200.0,-1.84%,500.0,45339.0,54902.0,10022.0
249.0,제이알글로벌리츠,4415.0,115.0,+2.67%,1000.0,549.0,20271.0,269.0
250.0,넥센타이어,8640.0,490.0,+6.01%,500.0,25974.0,39443.0,-543.0
251.0,LG전자우,48700.0,900.0,+1.88%,5000.0,,,
252.0,ESR켄달스퀘어리츠,3890.0,0.0,0.00%,1000.0,490.0,22539.0,225.0
253.0,KODEX 인버스,4715.0,60.0,-1.26%,0.0,,,
254.0,미원상사,170400.0,600.0,+0.35%,500.0,4382.0,4156.0,770.0
255.0,이노션,40650.0,0.0,0.00%,500.0,17504.0,22901.0,1369.0
256.0,세아베스틸지주,22650.0,200.0,+0.89%,5000.0,43863.0,38184.0,1279.0
257.0,더블유게임즈,44200.0,1100.0,-2.43%,500.0,6173.0,12356.0,1839.0
258.0,태광산업,721000.0,4000.0,-0.55%,5000.0,27039.0,49100.0,-1221.0
259.0,삼성 인버스 2X 천연가스 선물 ETN C,78230.0,1995.0,+2.62%,0.0,,,
260.0,KODEX 단기채권,105585.0,15.0,+0.01%,0.0,,,
261.0,세방전지,55600.0,600.0,+1.09%,500.0,14731.0,16770.0,811.0
262.0,KODEX Top5PlusTR,15995.0,200.0,+1.27%,0.0,,,
263.0,신세계인터내셔날,21650.0,50.0,-0.23%,1000.0,15539.0,12787.0,1153.0
264.0,TIGER 200 IT,30720.0,320.0,+1.05%,0.0,,,
265.0,DN오토모티브,75500.0,0.0,0.00%,500.0,31564.0,45916.0,4215.0
266.0,HDC현대산업개발,11290.0,90.0,+0.80%,5000.0,32983.0,73363.0,1164.0
267.0,CJ CGV,15510.0,280.0,-1.77%,500.0,12813.0,36015.0,-768.0
268.0,제주은행,22900.0,800.0,-3.38%,5000.0,2756.0,73203.0,270.0
269.0,녹십자홀딩스,15420.0,40.0,+0.26%,500.0,20796.0,35921.0,712.0
270.0,현대그린푸드,7250.0,0.0,0.00%,500.0,39232.0,31851.0,600.0
271.0,미원에스씨,137800.0,500.0,-0.36%,500.0,6116.0,4757.0,809.0
272.0,티웨이항공,3585.0,10.0,-0.28%,500.0,5258.0,10425.0,-1039.0
273.0,대한해운,2180.0,15.0,-0.68%,500.0,16120.0,44903.0,2677.0
274.0,SNT모티브,46850.0,950.0,-1.99%,5000.0,10449.0,12255.0,1119.0
275.0,드림텍,10110.0,640.0,-5.95%,100.0,13686.0,8254.0,967.0
276.0,프레스티지바이오파마,11340.0,60.0,-0.53%,0.0,,5176.0,-235.0
277.0,대상,19610.0,320.0,+1.66%,1000.0,40841.0,31902.0,1400.0
278.0,SBS,36950.0,450.0,-1.20%,5000.0,11738.0,14079.0,1856.0
279.0,이엔플러스,11300.0,1240.0,-9.89%,500.0,269.0,1203.0,-132.0
280.0,바이오노트,6460.0,80.0,+1.25%,500.0,4797.0,17570.0,2954.0
281.0,우리종금,747.0,2.0,+0.27%,500.0,4066.0,56572.0,1230.0
282.0,LX홀딩스,8530.0,70.0,-0.81%,1000.0,2369.0,16350.0,1589.0
283.0,대신증권,12800.0,150.0,+1.19%,5000.0,36353.0,227632.0,8855.0
284.0,삼양홀딩스,75300.0,800.0,+1.07%,5000.0,33168.0,45478.0,1323.0
285.0,한국단자,61900.0,1200.0,+1.98%,500.0,11681.0,12898.0,643.0
286.0,한섬,26050.0,700.0,+2.76%,500.0,15422.0,16847.0,1683.0
287.0,KODEX 자동차,18115.0,290.0,+1.63%,0.0,,,
288.0,DI동일,24800.0,1050.0,-4.06%,500.0,9137.0,10003.0,448.0
289.0,KCC글라스,39650.0,600.0,+1.54%,1000.0,14437.0,22096.0,1192.0
290.0,자화전자,30450.0,1000.0,-3.18%,500.0,2923.0,5058.0,-117.0
291.0,이수페타시스,9900.0,480.0,-4.62%,1000.0,6429.0,5460.0,1166.0
292.0,KODEX MSCI Korea TR,10945.0,175.0,+1.62%,0.0,,,
293.0,효성중공업,66700.0,400.0,-0.60%,5000.0,35101.0,46935.0,1432.0
294.0,한세실업,15530.0,0.0,0.00%,500.0,22048.0,12392.0,1796.0
295.0,동원F&B,160500.0,1500.0,+0.94%,5000.0,40236.0,20717.0,1287.0
296.0,동양생명,3810.0,5.0,+0.13%,5000.0,63476.0,371033.0,3322.0
297.0,ARIRANG 200,33420.0,445.0,+1.35%,0.0,,,
298.0,케이카,12730.0,760.0,+6.35%,500.0,21773.0,5344.0,500.0
299.0,SK디스커버리,31600.0,200.0,-0.63%,5000.0,87171.0,117801.0,3622.0
300.0,TCC스틸,23650.0,50.0,+0.21%,1000.0,6844.0,5075.0,440.0
301.0,세아제강지주,144800.0,1700.0,+1.19%,5000.0,39538.0,35721.0,5672.0
302.0,보령,8710.0,90.0,+1.04%,500.0,7605.0,8924.0,566.0
303.0,쏘카,18240.0,40.0,+0.22%,100.0,3976.0,5857.0,95.0
304.0,쿠쿠홈시스,26500.0,500.0,+1.92%,100.0,9381.0,10170.0,1199.0
305.0,현대에너지솔루션,53000.0,3500.0,-6.19%,5000.0,9848.0,6528.0,902.0
306.0,SPC삼립,68200.0,400.0,+0.59%,5000.0,33145.0,12954.0,895.0
307.0,KODEX 코스닥150선물인버스,4260.0,25.0,-0.58%,0.0,,,
308.0,일동제약,21750.0,250.0,+1.16%,1000.0,6377.0,6558.0,-735.0
309.0,현대홈쇼핑,48500.0,350.0,-0.72%,5000.0,21017.0,27820.0,1106.0
310.0,한화투자증권,2700.0,30.0,-1.10%,5000.0,21143.0,121112.0,344.0
311.0,부광약품,8010.0,10.0,-0.12%,500.0,1909.0,4009.0,-2.0
312.0,엠씨넥스,31300.0,1200.0,-3.69%,500.0,11086.0,5389.0,107.0
313.0,영풍제지,25150.0,450.0,+1.82%,500.0,1054.0,2037.0,78.0
